game_id,name,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_raw,categories_raw,thematics_list,categories_list,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
26,Зомбицид. Вторая редакция,1,6,3.5,60,0,30.0,18,0,9.0,"Вторая редакция, Хардкорные игры, Игры по вселенным, Зомбицид","Для двоих, Кооперативные игры, Приключенческие игры","['Вторая редакция', 'Хардкорные игры', 'Игры по вселенным', 'Зомбицид']","['Для двоих', 'Кооперативные игры', 'Приключенческие игры']",4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,Битва за Рокуган,2,5,3.5,60,90,75.0,13,0,6.5,"Хардкорные игры, Коробочные варгеймы, Стратегические игры","Тематические, Для двоих, Для компании","['Хардкорные игры', 'Коробочные варгеймы', 'Стратегические игры']","['Тематические', 'Для двоих', 'Для компании']",3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28,Агрикола. Юбилейное издание,1,4,2.5,90,90,90.0,12,0,6.0,"Агрикола, Хардкорные игры, Стратегические игры, Подарочные издания","Для одного, Для двоих, Для компании, Экономические игры","['Агрикола', 'Хардкорные игры', 'Стратегические игры', 'Подарочные издания']","['Для одного', 'Для двоих', 'Для компании', 'Экономические игры']",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
29,Манчкин,3,6,4.5,30,0,15.0,12,0,6.0,"Всё о линейке, Манчкин",,"['Всё о линейке', 'Манчкин']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Gloomhaven. Мрачная гавань: Челюсти льва,1,4,2.5,30,120,75.0,13,0,6.5,"Gloomhaven, Хардкорные игры, Стратегические игры, Игры по вселенным","Тематические, Кооперативные игры, Приключенческие игры","['Gloomhaven', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Тематические', 'Кооперативные игры', 'Приключенческие игры']",4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
31,Гонка: Туннельное зрение,1,7,4.0,60,60,60.0,10,0,5.0,"Гонка:, Жара на трассе",,"['Гонка:', 'Жара на трассе']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Пуньк!,2,2,2.0,20,20,20.0,7,0,3.5,"Семейные игры, Абстрактные игры","Тематические, Дуэльные игры","['Семейные игры', 'Абстрактные игры']","['Тематические', 'Дуэльные игры']",2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,Каркассон: Big Box,2,6,4.0,35,0,17.5,7,0,3.5,"Семейные игры, Каркассон, Подарочные издания","Для двоих, Для компании","['Семейные игры', 'Каркассон', 'Подарочные издания']","['Для двоих', 'Для компании']",3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,Ярость Дракулы. Третья редакция,2,5,3.5,120,180,150.0,13,0,6.5,"Хардкорные игры, Игры по вселенным","Детективные игры, Для двоих, Для компании, Загадки и расследования, Кооперативные игры, Полукооперативные игры, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным']","['Детективные игры', 'Для двоих', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Полукооперативные игры', 'Приключенческие игры']",2,7,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
35,Звёздные империи: Наследие,2,6,4.0,20,60,40.0,12,0,6.0,"Космос ближе, чем кажется, Стратегические игры, Звёздные, Империи","Тематические, Для двоих, Для компании, Карточные игры, Игры про космос","['Космос ближе', 'чем кажется', 'Стратегические игры', 'Звёздные', 'Империи']","['Тематические', 'Для двоих', 'Для компании', 'Карточные игры', 'Игры про космос']",5,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
