,Name,Count_Gamers,Time,Age,Thematics,Categories
14,Ticket to Ride. Наследие: Легенды Запада,2-5,20-90,11+,"['Ticket to ', 'Ride: 20 лет жизни ', 'Алана ', 'Муна до и после']",[]
15,Мачи Коро,2-5,30-45,7+,"['Семейные игры', 'Мачи ', 'Коро']","['Тематические', 'Для двоих', 'Для компании', 'Для коллег', 'Карточные игры', 'Экономические игры']"
16,Лорды Ваалы: Связь Драконов,1-4,60,14+,['Стратегические игры'],"['Тематические', 'Для одного', 'Для двоих']"
17,Набор игр ,1-4,30-120,18+,"['Oathsworn: ', 'Верные клятве', 'Наборы игр']",[]
18,Городской убийца,2-4,60,16+,"['Интервью с создателями ""', 'Городского убийцы""']",[]
19,Диамант,3-8,30,8+,['Семейные игры'],"['Для компании', 'Приключенческие игры']"
20,Зомби в доме: Заражение,2-4,40-60,12+,"['Семейные игры', 'Зомби в доме']","['Тематические', 'Что подарить на 8 марта?', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']"
21,Серп,1-5,115,14+,"['Хардкорные игры', 'Стратегические игры', 'Серп']","['Для двоих', 'Для компании']"
22,Древний ужас,1-8,120-240,18+,"['Древний ', 'Ужас', 'Игры по вселенным', 'Ужас ', 'Аркхэма (', 'Arkham ', 'Horror ', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная ', 'Лавкрафта', 'Для одного', 'Для двоих', 'Для компании', 'Для коллег', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']"
23,Сумерки империи. Четвёртое издание,3-6,240-480,13+,"['Космос ближе, чем кажется', 'Сумерки ', 'Империи', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']",['Тематические']
24,Ужас Аркхэма. Третья редакция,1-6,120-180,14+,"['Хардкорные игры', 'Ужас ', 'Аркхэма. ', 'Настольная игра', 'Игры по вселенным', 'Ужас ', 'Аркхэма (', 'Arkham ', 'Horror ', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная ', 'Лавкрафта', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']"
25,Зомбицид. Вторая редакция,1-6,60+,18+,"['Вторая редакция', 'Хардкорные игры', 'Игры по вселенным', 'Зомбицид']","['Для двоих', 'Кооперативные игры', 'Приключенческие игры']"
26,Битва за Рокуган,2-5,60-90,13+,"['Хардкорные игры', 'Коробочные варгеймы', 'Стратегические игры']","['Тематические', 'Для двоих', 'Для компании']"
27,Агрикола. Юбилейное издание,1-4,90,12+,"['Агрикола', 'Хардкорные игры', 'Стратегические игры', 'Подарочные издания']","['Для одного', 'Для двоих', 'Для компании', 'Экономические игры']"
28,Манчкин,3-6,30+,12+,"['Всё о линейке ""', 'Манчкин""']",[]
29,Gloomhaven. Мрачная гавань: Челюсти льва,1-4,30-120,13+,"['Gloomhaven', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Тематические', 'Кооперативные игры', 'Приключенческие игры']"
30,Гонка: Туннельное зрение,1-7,60,10+,"['Гонка: ', 'Жара на трассе']",[]
31,Пуньк!,2,20,7+,"['Семейные игры', 'Абстрактные игры']","['Тематические', 'Дуэльные игры']"
32,Каркассон: Big Box,2-6,35+,7+,"['Семейные игры', 'Каркассон', 'Подарочные издания']","['Для двоих', 'Для компании']"
33,Ярость Дракулы. Третья редакция,2-5,120-180,13+,"['Хардкорные игры', 'Игры по вселенным']","['Детективные игры', 'Для двоих', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Полукооперативные игры', 'Приключенческие игры']"
34,Звёздные империи: Наследие,2-6,20-60,12+,"['Космос ближе, чем кажется', 'Стратегические игры', 'Звёздные ', 'Империи']","['Тематические', 'Для двоих', 'Для компании', 'Карточные игры', 'Игры про космос']"
35,Runebound. Третья редакция,2-4,120-180,14+,"['Хардкорные игры', 'Игры по вселенным', 'Runebound']","['Для двоих', 'Для компании', 'Приключенческие игры']"
